id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,,
4455,1660,Mastercard,Debit,5231462717450520,3/1/2024,754,YES,2,$12082,8/1/2016,2016,,
3234,1660,Mastercard,Credit,5074836567307560,3/1/2023,741,NO,2,$6000,6/1/2002,2010,,
1005,1660,Visa,Debit,4986369179342270,11/1/2009,367,YES,1,$620,2/1/2002,2014,,
151,1747,Mastercard,Debit,5892013969159900,8/1/2022,879,YES,1,$14499,1/1/2008,2008,,
4198,1747,Mastercard,Debit,5179157151686140,7/1/2023,457,YES,2,$12332,8/1/2007,2009,,
4403,1747,Mastercard,Debit,5569640141329520,9/1/2024,904,YES,1,$18424,8/1/2013,2013,,
4120,1747,Visa,Credit,4708914311449290,7/1/2023,149,NO,1,$15400,8/1/2003,2008,,
4224,1747,Visa,Debit,4795724941278910,2/1/2022,136,YES,2,$14548,8/1/2007,2013,,
4895,1747,Mastercard,Credit,5300159511214990,12/1/2016,740,YES,2,$10100,9/1/2016,2016,,
1028,153,Discover,Credit,6580244636542190,4/1/2011,416,YES,1,$11200,2/1/2004,2008,,
5956,153,Mastercard,Debit,5032457975030960,10/1/2024,240,YES,2,$20291,12/1/2009,2011,,
107,153,Visa,Debit,4382324870900900,8/1/2018,852,YES,1,$32092,1/1/2006,2010,,
440,153,Mastercard,Debit,5456808094753900,2/1/2020,217,YES,1,$20463,1/1/2020,2020,,
746,429,Visa,Debit,4465362453388900,8/1/2022,738,YES,1,$15802,1/1/2020,2020,,
1769,429,Visa,Debit,4668447208616690,2/1/2020,314,NO,2,$4612,2/1/2020,2020,,
421,429,Discover,Credit,6377595394803320,7/1/2020,675,YES,2,$19900,1/1/2020,2020,,
974,511,Mastercard,Debit (Prepaid),5117090980312400,10/1/2020,42,YES,1,$73,2/1/2000,2012,,
4707,511,Mastercard,Debit,5377858405611170,1/1/2024,24,YES,1,$11858,9/1/2009,2010,,
7,511,Mastercard,Debit,5585238056278280,3/1/2005,749,YES,1,$9664,1/1/1998,2011,,
2212,511,Mastercard,Debit,5355281784290560,6/1/2020,810,YES,1,$8367,3/1/2009,2009,,
1038,511,Visa,Credit,4150093118072730,6/1/2022,135,YES,2,$6100,2/1/2004,2009,,
1460,309,Mastercard,Debit,5979295728871780,2/1/2020,630,YES,3,$9944,2/1/2020,2020,,
747,309,Visa,Credit,4473643731469830,1/1/2020,771,YES,1,$7900,1/1/2020,2020,,
1770,309,Visa,Credit,4800116569994470,12/1/2020,201,YES,1,$5600,2/1/2020,2020,,
748,777,Visa,Debit,4832328468851060,8/1/2023,580,YES,1,$68400,1/1/2020,2020,,
441,777,Mastercard,Debit,5278075482033390,4/1/2023,437,YES,2,$77237,1/1/2020,2020,,
3679,1946,Visa,Debit,4869845530765330,8/1/2024,701,YES,2,$4488,7/1/2002,2015,,
5701,1946,Visa,Credit,4231526239204030,2/1/2020,499,YES,2,$12500,11/1/2014,2014,,
4510,1674,Mastercard,Debit,5813611925507600,12/1/2020,734,YES,2,$23432,9/1/2001,2008,,
2873,1674,Amex,Credit,366520954874839,5/1/2022,447,YES,2,$8800,5/1/2005,2011,,
1461,482,Mastercard,Credit,5392697458480960,2/1/2020,886,YES,2,$12100,2/1/2020,2020,,
442,877,Mastercard,Debit,5048151330736420,2/1/2020,931,YES,1,$9708,1/1/2020,2020,,
3877,877,Amex,Credit,371643368691556,11/1/2021,683,YES,2,$12000,7/1/2009,2011,,
2296,877,Mastercard,Debit,5700734711260260,11/1/2023,230,YES,1,$11973,3/1/2012,2012,,
5048,128,Mastercard,Debit,5389442391430670,2/1/2022,658,YES,2,$13601,10/1/2006,2014,,
1462,128,Mastercard,Credit,5079116875907420,1/1/2024,849,YES,2,$7800,2/1/2020,2020,,
4269,775,Visa,Debit,4390425683290560,10/1/2023,790,YES,2,$17816,8/1/2008,2016,,
5188,1536,Mastercard,Debit,5217568630125700,3/1/2021,625,NO,2,$17707,10/1/2010,2010,,
2874,1536,Amex,Credit,397856635669220,11/1/2020,2,YES,1,$9500,5/1/2005,2009,,
3041,140,Mastercard,Debit,5529182104663860,1/1/2022,182,YES,1,$19110,5/1/2010,2011,,
5312,140,Mastercard,Debit,5489017664251280,8/1/2023,196,YES,1,$13428,10/1/2016,2016,,
4150,140,Mastercard,Debit,5793675314684780,6/1/2022,43,YES,1,$24608,8/1/2005,2009,,
152,140,Mastercard,Debit,5845373196638990,9/1/2022,111,YES,1,$13441,1/1/2008,2011,,
443,1884,Mastercard,Debit (Prepaid),5750288075891800,2/1/2020,788,YES,2,$74,1/1/2020,2020,,
3377,1874,Mastercard,Debit,5429789020188280,10/1/2012,674,YES,1,$17872,6/1/2008,2008,,
5789,1874,Mastercard,Credit,5301114615829910,9/1/2022,425,YES,1,$12900,12/1/2003,2010,,
2106,1874,Mastercard,Debit,5571104183564020,5/1/2024,52,YES,2,$25264,3/1/2006,2020,,
2078,1874,Mastercard,Debit,5401948301255030,12/1/2022,920,YES,2,$20634,3/1/2005,2007,,
5866,1310,Visa,Credit,4295364044956970,4/1/2007,656,YES,2,$12200,12/1/2006,2010,,
173,1310,Visa,Credit,4737484014371340,2/1/2010,221,YES,2,$5500,1/1/2008,2008,,
1771,1689,Visa,Credit,4509365132510760,3/1/2020,281,NO,2,$6600,2/1/2020,2020,,
6132,1689,Mastercard,Debit,5068255294282300,11/1/2020,890,YES,1,$25815,12/1/2017,2017,,
327,379,Amex,Credit,354813103334804,6/1/2021,527,YES,2,$8400,1/1/2014,2014,,
2019,379,Mastercard,Debit,5910929635230860,2/1/2020,525,YES,1,$21628,3/1/2001,2008,,
3881,379,Mastercard,Debit,5400182448188960,10/1/2021,412,YES,1,$24232,7/1/2009,2009,,
1166,34,Mastercard,Debit,5039048842448180,11/1/2023,339,YES,2,$10775,2/1/2009,2010,,
3342,34,Mastercard,Debit (Prepaid),5672012369002300,2/1/2020,598,YES,2,$105,6/1/2007,2013,,
5622,822,Visa,Credit,4336733185475860,1/1/2021,221,NO,2,$7100,11/1/2010,2010,,
5424,822,Mastercard,Debit,5985582173054290,7/1/2024,951,YES,1,$29351,11/1/2005,2007,,
2558,822,Mastercard,Debit,5281056728185170,3/1/2020,835,YES,2,$15125,4/1/2008,2012,,
5385,822,Mastercard,Credit,5615660494634700,11/1/2021,865,YES,2,$8000,11/1/2003,2008,,
5596,822,Mastercard,Debit (Prepaid),5314878099448740,5/1/2011,994,YES,1,$83,11/1/2010,2010,,
3991,1499,Amex,Credit,311095486859536,1/1/2024,536,YES,2,$23700,7/1/2012,2012,,
6126,1780,Visa,Credit,4624747592911120,2/1/2024,986,YES,2,$700,12/1/2016,2016,,
3756,1806,Mastercard,Debit,5595562388674400,7/1/2024,594,YES,2,$7488,7/1/2006,2016,,
971,811,Visa,Credit,4171022488649330,1/1/2002,225,NO,1,$24900,2/1/1999,2010,,
2079,811,Mastercard,Debit,5246337038556760,6/1/2021,638,YES,2,$30971,3/1/2005,2020,,
387,811,Amex,Credit,399966116933253,1/1/2024,343,YES,1,$24400,1/1/2020,2020,,
444,811,Mastercard,Debit,5064137987234660,2/1/2020,599,YES,2,$53549,1/1/2020,2020,,
5277,811,Visa,Debit,4905540969337030,9/1/2018,573,YES,1,$53036,10/1/2013,2013,,
4358,811,Mastercard,Debit,5703849820939460,12/1/2024,300,YES,1,$35750,8/1/2011,2011,,
2318,811,Visa,Debit,4055403312631050,7/1/2021,902,YES,1,$33375,3/1/2013,2013,,
6019,1844,Visa,Debit (Prepaid),4587476056357150,7/1/2023,858,YES,2,$22,12/1/2010,2010,,
4421,1844,Discover,Credit,6521426249819190,11/1/2020,608,YES,1,$13100,8/1/2014,2014,,
3702,1844,Visa,Debit,4199712815274630,10/1/2024,440,YES,1,$16516,7/1/2003,2011,,
2854,1844,Mastercard,Credit,5172743861765170,7/1/2016,906,YES,1,$15700,5/1/2004,2011,,
4114,1844,Mastercard,Debit,5214643602729090,5/1/2024,474,YES,1,$21058,8/1/2003,2007,,
28,1852,Visa,Debit,4013876625955760,10/1/2023,543,YES,2,$36425,1/1/2002,2004,,
6127,1852,Visa,Debit (Prepaid),4966050979388900,3/1/2021,585,YES,2,$91,12/1/2016,2016,,
2477,1852,Mastercard,Credit,5247576622089390,9/1/2021,379,YES,1,$13400,4/1/2005,2014,,
2632,1852,Mastercard,Credit,5911319900289830,4/1/2021,37,YES,2,$21600,4/1/2010,2010,,
1463,1231,Mastercard,Debit,5058769177189800,2/1/2020,12,NO,1,$9090,2/1/2020,2020,,
5679,970,Visa,Debit,4682877628388630,2/1/2023,846,NO,1,$25942,11/1/2012,2012,,
1012,970,Mastercard,Credit,5882842508952740,7/1/2019,614,YES,2,$10700,2/1/2003,2013,,
1464,970,Mastercard,Credit,5637149260486790,7/1/2022,630,YES,2,$4900,2/1/2020,2020,,
1465,381,Mastercard,Credit,5115700923413240,4/1/2022,587,NO,1,$18100,2/1/2020,2020,,
388,1134,Amex,Credit,324640473359364,3/1/2024,659,YES,2,$7200,1/1/2020,2020,,
3708,1296,Mastercard,Debit,5033428838471720,2/1/2020,546,YES,2,$22660,7/1/2004,2007,,
3087,1296,Discover,Credit,6969946254132650,12/1/2022,588,YES,1,$19800,5/1/2011,2011,,
67,1296,Mastercard,Credit,5181226307106930,11/1/2024,820,YES,2,$15500,1/1/2005,2014,,
80,1296,Visa,Debit (Prepaid),4310689470082080,6/1/2023,458,YES,1,$13,1/1/2005,2008,,
3665,1296,Mastercard,Debit,5051066154001740,6/1/2021,526,YES,2,$4317,7/1/2001,2011,,
2014,1880,Mastercard,Debit,5456915066505060,12/1/2021,553,NO,1,$14719,3/1/2000,2008,,
4906,1880,Mastercard,Debit,5132664334960880,5/1/2021,593,YES,1,$9532,9/1/2017,2017,,
3757,1880,Mastercard,Credit,5752873844240560,3/1/2020,486,YES,1,$10900,7/1/2006,2014,,
5365,322,Mastercard,Credit,5494228198326750,9/1/2024,428,YES,2,$6200,11/1/2001,2012,,
5425,322,Mastercard,Debit,5789639625525450,12/1/2012,43,YES,2,$2903,11/1/2005,2011,,
5758,322,Mastercard,Debit,5392957769023380,10/1/2020,803,YES,2,$4355,12/1/1999,2010,,
5482,461,Mastercard,Debit,5182820825620430,4/1/2021,126,YES,1,$28963,11/1/2007,2012,,
3172,461,Mastercard,Debit,5102353988152900,12/1/2022,667,YES,2,$20913,5/1/2016,2016,,
1209,461,Mastercard,Debit,5033135709911480,7/1/2024,170,YES,1,$23344,2/1/2010,2010,,
5313,461,Mastercard,Debit,5611522756791990,1/1/2020,882,YES,2,$33642,10/1/2016,2016,,
4762,1165,Mastercard,Debit,5037404409791940,1/1/2022,681,YES,1,$14695,9/1/2010,2011,,
126,1448,Mastercard,Credit,5571363047071890,9/1/2023,510,YES,1,$13200,1/1/2007,2015,,
4685,1448,Visa,Debit,4083033843851770,1/1/2020,173,YES,1,$29950,9/1/2008,2013,,
5907,1448,Visa,Credit,4829916759482890,7/1/2024,768,YES,2,$4600,12/1/2007,2011,,
2428,1288,Mastercard,Debit,5458492483408540,12/1/2022,92,YES,1,$10051,4/1/2002,2011,,
1013,1288,Mastercard,Debit,5879094230635420,12/1/2015,729,YES,2,$9796,2/1/2003,2013,,
5145,1178,Mastercard,Debit,5769435406360320,10/1/2021,957,YES,1,$17826,10/1/2009,2009,,
5854,1178,Mastercard,Debit,5588799529406910,11/1/2024,778,YES,1,$19086,12/1/2006,2009,,
5296,1178,Visa,Debit,4410685608952630,6/1/2024,265,YES,2,$17345,10/1/2014,2014,,
1327,1178,Visa,Debit,4470822684089910,9/1/2020,923,YES,2,$17976,2/1/2013,2013,,
383,1178,Visa,Debit,4804338444306720,1/1/2022,279,YES,2,$16447,1/1/2019,2019,,
5129,1391,Visa,Debit,4194362281636450,10/1/2024,271,YES,2,$29573,10/1/2008,2009,,
5995,1391,Mastercard,Debit (Prepaid),5436469451844820,12/1/2021,48,YES,2,$98,12/1/2010,2010,,
4107,1391,Mastercard,Debit,5648865641388290,8/1/2019,71,YES,2,$2559,8/1/2002,2012,,
36,1391,Mastercard,Debit,5914243757284140,10/1/2012,436,YES,2,$6552,1/1/2003,2010,,
445,838,Mastercard,Credit,5193780952753620,1/1/2021,591,YES,2,$13800,1/1/2020,2020,,
1466,54,Mastercard,Debit,5957925302951750,8/1/2020,746,YES,1,$16375,2/1/2020,2020,,
749,54,Visa,Debit,4557061225558440,5/1/2023,780,YES,1,$14213,1/1/2020,2020,,
1772,54,Visa,Debit (Prepaid),4883222888293060,9/1/2020,2,YES,1,$73,2/1/2020,2020,,
3801,1452,Mastercard,Debit,5476407228285230,11/1/2022,688,YES,2,$53466,7/1/2007,2013,,
282,1602,Visa,Credit,4698943729070490,9/1/2020,450,YES,1,$6600,1/1/2011,2013,,
6105,1602,Mastercard,Credit,5579147219556300,6/1/2022,806,NO,2,$7200,12/1/2015,2015,,
446,1938,Mastercard,Debit,5099614207935760,11/1/2020,856,YES,1,$2868,1/1/2020,2020,,
422,1938,Discover,Credit,6177503172021500,5/1/2024,97,YES,1,$3400,1/1/2020,2020,,
5231,1492,Mastercard,Debit,5188130978534930,1/1/2022,446,YES,1,$12915,10/1/2011,2013,,
2615,1492,Visa,Debit (Prepaid),4860320285002450,12/1/2023,366,YES,2,$84,4/1/2009,2017,,
2776,1492,Discover,Credit,6417599205270840,7/1/2021,504,YES,2,$17600,4/1/2018,2018,,
5452,1492,Mastercard,Debit,5516722949603670,12/1/2012,621,YES,1,$31542,11/1/2006,2009,,
3563,1492,Mastercard,Debit,5891053637541510,2/1/2022,362,YES,2,$23049,6/1/2013,2013,,
6134,1492,Visa,Debit,4222570131769030,5/1/2020,141,YES,1,$29734,12/1/2017,2017,,
4818,1492,Visa,Credit,4453742478192140,1/1/2020,346,YES,2,$27000,9/1/2011,2016,,
2171,1492,Mastercard,Debit (Prepaid),5335984658439100,11/1/2022,320,YES,1,$18,3/1/2008,2010,,
6106,688,Mastercard,Debit,5708150083756690,4/1/2023,824,YES,1,$17848,12/1/2015,2015,,
3042,688,Mastercard,Debit,5238684130320060,11/1/2022,870,NO,1,$25563,5/1/2010,2010,,
5209,688,Visa,Credit,4740880792169370,4/1/2020,168,YES,2,$12000,10/1/2010,2010,,
1296,688,Amex,Credit,361648729239104,11/1/2018,709,NO,2,$6600,2/1/2012,2012,,
389,749,Amex,Credit,363305614201313,9/1/2023,943,NO,1,$5600,1/1/2020,2020,,
1773,749,Visa,Debit,4360859456629850,11/1/2022,428,YES,3,$11873,2/1/2020,2020,,
1467,749,Mastercard,Credit,5498016831726770,2/1/2020,871,YES,1,$7200,2/1/2020,2020,,
1395,643,Amex,Credit,381572912003735,8/1/2024,145,YES,1,$10000,2/1/2020,2020,,
5597,643,Mastercard,Credit,5079302523329050,4/1/2023,381,YES,2,$500,11/1/2010,2010,,
1468,1219,Mastercard,Debit,5546998350637120,2/1/2020,718,YES,1,$22697,2/1/2020,2020,,
2309,1219,Mastercard,Credit,5326031764905960,8/1/2023,437,YES,1,$18000,3/1/2013,2013,,
3466,1219,Mastercard,Debit,5096150037217370,10/1/2024,862,YES,1,$32903,6/1/2010,2010,,
2804,1198,Visa,Debit,4489873116412360,8/1/2021,547,YES,2,$12764,5/1/1999,2010,,
1388,1198,Mastercard,Credit,5621725368325860,10/1/2022,60,YES,1,$6300,2/1/2019,2019,,
4660,898,Mastercard,Debit,5923138803280580,2/1/2022,934,YES,2,$7541,9/1/2008,2013,,
3356,898,Visa,Debit,4447989421793040,3/1/2022,995,YES,2,$1266,6/1/2007,2012,,
4870,898,Mastercard,Credit,5000307662634780,4/1/2020,263,NO,1,$9500,9/1/2014,2014,,
3467,882,Mastercard,Debit,5707305515533510,4/1/2020,203,YES,2,$1837,6/1/2010,2010,,
1079,882,Mastercard,Debit,5864987017850550,8/1/2023,258,YES,2,$17453,2/1/2006,2008,,
2977,348,Visa,Debit,4228885239928180,10/1/2013,543,NO,1,$28283,5/1/2008,2012,,
3073,348,Visa,Credit,4210237285941910,4/1/2020,160,YES,1,$13500,5/1/2010,2012,,
3554,348,Visa,Credit,4877073763902890,7/1/2014,786,YES,2,$13300,6/1/2012,2012,,
2597,633,Mastercard,Debit,5558040779986500,9/1/2021,69,YES,2,$17941,4/1/2009,2009,,
3489,1493,Visa,Credit,4642496218651970,4/1/2018,594,YES,1,$14400,6/1/2010,2012,,
4003,1493,Visa,Credit,4244401907291510,4/1/2020,120,YES,1,$4400,7/1/2012,2012,,
1469,1493,Mastercard,Credit,5157439545898690,3/1/2020,657,YES,1,$13000,2/1/2020,2020,,
1774,1493,Visa,Debit,4079516725179260,4/1/2023,72,YES,2,$22701,2/1/2020,2020,,
1470,1161,Mastercard,Credit,5597117503471640,8/1/2024,934,NO,1,$16100,2/1/2020,2020,,
1471,1161,Mastercard,Debit,5808372218918200,9/1/2023,138,YES,2,$7629,2/1/2020,2020,,
2691,217,Mastercard,Debit,5565497732362120,3/1/2022,430,NO,1,$16538,4/1/2012,2012,,
174,217,Visa,Debit,4072893581482200,12/1/2020,578,YES,2,$22746,1/1/2008,2010,,
1364,217,Mastercard,Debit,5161929618424760,7/1/2016,743,YES,1,$9737,2/1/2016,2016,,
1266,217,Mastercard,Credit,5359358098670030,7/1/2019,428,YES,1,$6500,2/1/2011,2014,,
1267,217,Mastercard,Debit,5093514487076210,6/1/2020,889,YES,2,$2650,2/1/2011,2013,,
207,217,Visa,Credit,4409790595650710,5/1/2012,839,YES,2,$8200,1/1/2009,2011,,
5448,217,Amex,Credit,373325875666765,1/1/2022,204,YES,2,$6200,11/1/2006,2013,,
5449,1877,Amex,Credit,366837170672753,1/1/2021,803,YES,2,$22600,11/1/2006,2014,,
2107,1877,Mastercard,Debit,5260255791659840,5/1/2024,428,YES,2,$6940,3/1/2006,2009,,
2398,1877,Mastercard,Debit,5911939393457820,3/1/2024,410,YES,2,$23408,4/1/1996,2008,,
5414,1877,Visa,Credit,4226284680001630,9/1/2022,966,YES,2,$9700,11/1/2004,2007,,
3758,668,Mastercard,Debit,5624997997810580,6/1/2024,992,NO,2,$10538,7/1/2006,2006,,
4097,668,Mastercard,Debit,5752209560237460,3/1/2023,385,YES,2,$6853,8/1/2001,2006,,
5778,668,Mastercard,Debit,5470018669871080,10/1/2020,598,YES,2,$607,12/1/2002,2010,,
4318,668,Mastercard,Credit,5764603958082860,8/1/2021,397,YES,1,$0,8/1/2010,2010,,
5015,668,Visa,Debit,4378354586828460,6/1/2021,644,YES,2,$8253,10/1/2004,2011,,
750,533,Visa,Debit,4415203972868490,9/1/2020,847,YES,2,$8492,1/1/2020,2020,,
242,203,Visa,Credit,4716309780327850,7/1/2022,275,YES,1,$9100,1/1/2010,2010,,
3966,203,Mastercard,Credit,5175414290540890,4/1/2022,497,NO,2,$2600,7/1/2011,2011,,
5375,203,Mastercard,Credit,5079431552272490,5/1/2024,813,NO,1,$7300,11/1/2002,2010,,
5166,1738,Visa,Credit,4841586209388610,8/1/2020,207,YES,1,$15000,10/1/2009,2009,,
1472,1738,Mastercard,Credit,5133341979041600,4/1/2024,497,YES,2,$18700,2/1/2020,2020,,
751,1738,Visa,Debit,4044685132149960,5/1/2021,579,YES,1,$21458,1/1/2020,2020,,
5623,1738,Visa,Credit,4825181289428260,4/1/2020,635,NO,1,$15700,11/1/2010,2014,,
6099,713,Mastercard,Debit,5533057740649370,1/1/2020,13,YES,2,$20765,12/1/2014,2014,,
1473,713,Mastercard,Debit,5137811039972620,6/1/2022,170,NO,2,$18101,2/1/2020,2020,,
1775,713,Visa,Credit,4409545480052950,11/1/2024,528,YES,1,$8400,2/1/2020,2020,,
447,713,Mastercard,Debit,5169705466479210,3/1/2020,66,YES,1,$1737,1/1/2020,2020,,
1474,1631,Mastercard,Credit,5782138554730430,2/1/2020,217,YES,2,$20900,2/1/2020,2020,,
1776,1631,Visa,Credit,4450097042295690,11/1/2021,601,YES,1,$23700,2/1/2020,2020,,
448,1631,Mastercard,Credit,5298079382002760,11/1/2021,989,YES,1,$17500,1/1/2020,2020,,
5978,1487,Visa,Debit,4911894810892310,6/1/2024,769,YES,1,$26083,12/1/2009,2009,,
2978,1487,Visa,Debit,4394014058373530,10/1/2022,943,YES,1,$31589,5/1/2008,2008,,
4946,1487,Visa,Credit,4984110253172320,6/1/2021,453,YES,2,$24200,10/1/2000,2013,,
1475,1265,Mastercard,Debit,5658875071888530,2/1/2020,190,YES,2,$18321,2/1/2020,2020,,
5376,370,Mastercard,Debit,5377126168537130,10/1/2022,94,YES,2,$7551,11/1/2002,2010,,
4127,370,Mastercard,Debit,5606824501502070,6/1/2014,451,YES,1,$15377,8/1/2004,2011,,
5093,370,Visa,Debit,4501704511432200,3/1/2023,324,YES,1,$12990,10/1/2007,2016,,
3490,370,Visa,Debit,4015096339812700,2/1/2023,494,YES,1,$8509,6/1/2010,2010,,
5702,1014,Visa,Debit,4467199760802870,11/1/2014,176,YES,1,$96907,11/1/2014,2014,,
2200,1014,Visa,Credit,4081474027835140,7/1/2015,45,YES,1,$43900,3/1/2008,2013,,
5436,1014,Visa,Debit (Prepaid),4868297041449160,10/1/2020,440,YES,2,$76,11/1/2005,2007,,
449,290,Mastercard,Debit,5843714671989150,1/1/2020,533,YES,2,$50915,1/1/2020,2020,,
1777,290,Visa,Debit,4052306795072860,12/1/2021,369,YES,2,$31767,2/1/2020,2020,,
3862,985,Visa,Credit,4229889369220690,4/1/2024,82,YES,2,$13200,7/1/2008,2010,,
1268,985,Mastercard,Credit,5936949471946670,10/1/2022,372,YES,2,$16000,2/1/2011,2012,,
752,985,Visa,Debit,4748458102584200,7/1/2024,223,YES,2,$18132,1/1/2020,2020,,
2704,985,Visa,Credit,4862788591864790,2/1/2019,466,YES,1,$300,4/1/2012,2012,,
2808,135,Mastercard,Debit,5736838327060440,11/1/2022,714,YES,2,$2236,5/1/2000,2015,,
4791,135,Visa,Debit,4528854599819260,8/1/2019,451,YES,2,$21591,9/1/2010,2010,,
1476,307,Mastercard,Debit,5956798767354530,4/1/2020,927,YES,2,$11521,2/1/2020,2020,,
753,307,Visa,Credit,4949830998579620,6/1/2020,561,NO,1,$8600,1/1/2020,2020,,
4112,1783,Amex,Credit,323782494048404,3/1/2020,659,YES,1,$9800,8/1/2003,2010,,
1154,1783,Visa,Credit,4172882144788970,3/1/2012,902,YES,2,$11300,2/1/2008,2009,,
2598,1783,Mastercard,Credit,5153494647482340,10/1/2019,492,YES,1,$8400,4/1/2009,2011,,
10,1783,Mastercard,Debit,5513208341097350,12/1/2023,789,YES,1,$16597,1/1/1999,2009,,
4655,1783,Amex,Credit,316138720673532,9/1/2020,876,YES,2,$9400,9/1/2008,2008,,
5908,1321,Visa,Debit,4709941855155410,12/1/2008,122,YES,1,$18702,12/1/2007,2007,,
3357,1511,Visa,Debit,4725438629956460,6/1/2022,675,YES,1,$24806,6/1/2007,2007,,
5502,1511,Visa,Debit,4992990568824240,5/1/2023,457,YES,1,$19856,11/1/2007,2011,,
1238,900,Visa,Debit (Prepaid),4580252759299280,2/1/2021,397,YES,2,$68,2/1/2010,2010,,
